kepid,KOI,period,transit_duration,snr,snrd_pvalue,holczer
7434875,884.01,9.439463055413032,0.0576881352767134,160.4929682008656,6.283862319378386e-14,False
10130039,1909.01,12.757989686386836,0.0854613700001485,41.933441658650565,0.0013420114438221,False
11176166,5875.01,9.878847281706095,0.0573370869084207,22.577220645900496,0.056216373570661,False
9472000,2082.01,31.58887894379632,0.0701450327455185,28.975677856591183,0.5514511044246,False
9597345,711.03,124.5244780344836,0.1963980148818133,45.85871518152109,0.000236689661885,False
8009350,1569.01,13.752077456192886,0.0548331034083129,39.97251899399591,0.5490506864167422,False
5978559,2321.01,95.61150054561456,0.1520664914714132,22.20948661991841,0.393931062656592,False
7456001,1517.01,40.068658137687095,0.1194797855814816,55.18068620926013,0.9876802181048248,False
4143755,281.01,19.556614610665356,0.1643337831649483,92.31056115325995,0.5096855272529602,False
1871056,1001.02,140.1071207684388,0.3795941884340909,20.01180993180224,0.996241615684044,False
4472818,3878.01,70.96728955169395,0.1403655920343036,37.673840996008686,0.5943658352079415,False
7503885,3417.01,91.07738822580012,0.1872605642178084,18.96267991117819,0.7004659731825656,False
7870390,898.03,20.09014843029713,0.0745895839105849,37.8103839837064,0.0332502616221952,False
5881813,2744.01,109.64658631913883,0.1262862452494375,26.3333177568048,0.920585339078688,False
7021681,255.01,27.521964107905337,0.0804905321011407,91.21754588887164,2.2457624648808403e-10,False
10934674,477.01,16.543012100271913,0.0786680641245515,43.33338900102974,3.529141324731811e-07,False
8644288,137.02,14.858910035069956,0.0693245119651633,375.118902019361,0.0,True
8394721,152.02,27.402321697810287,0.140475082418447,68.31110166296553,5.918790627390536e-06,True
8311864,7016.01,384.8474538950371,0.204590635497156,10.329222516173106,0.6070873038171032,False
7131760,3407.01,92.4367829583852,0.108699233477366,16.855070436127452,3.5813332521783536e-08,False
4262581,2122.01,37.646917018892935,0.1289615241203406,31.2974253895421,0.9581232080544506,False
8805348,695.01,29.90721533056288,0.0984525724106275,76.70327253017535,0.2361582871117873,False
7663691,891.01,10.006543380849012,0.1001331376532241,76.05671662567988,0.0980557623796055,False
11673802,1894.01,5.287906547465051,0.1739201086578489,71.72935389633375,0.0002351869718302,False
7289577,1974.01,109.44518232736488,0.0764515699969833,29.91562840197711,0.8350131141253727,False
6442377,176.01,30.229079744531123,0.1321865634966415,65.66021450689122,0.5357551886312882,False
10795103,3683.01,214.31128479159293,0.3197453162645661,320.45779030772803,1.4533479562039986e-05,True
9904006,2135.01,55.186519609223765,0.1839188677118294,36.161309165305816,0.0051710731805973,False
9962455,2748.01,23.198595925077345,0.2015454523702471,32.63462131362588,0.4615285677918781,False
3641726,804.01,9.029310022426898,0.0638562985323979,59.07735635727311,0.1701920987887559,False
10577994,475.01,8.18089057811783,0.0552748628252402,53.85540211162956,0.3394390327962642,False
9757613,250.04,46.82765644981354,0.0383664142111525,31.32382539177081,0.0732902208253779,False
5871985,2703.01,213.25762923644064,0.1557388040703866,26.912273569290825,0.9784870122034164,False
5629353,6132.02,7.584409296532169,0.0759856383225404,31.19230194112386,0.3828928246046033,False
9886361,2732.03,54.281111762675806,0.1092311950881578,19.409909371496937,0.3207969309844805,False
10189546,427.03,117.0404678800572,0.1375125969591339,16.47017811654182,0.2230625111191245,False
8672910,918.01,39.643132441560965,0.122157468007007,441.9894219778585,7.64943663966733e-14,True
9451706,271.01,48.63030553838735,0.1430990391586406,54.5428302671568,1.6926082757606764e-10,False
11512246,168.02,15.274420880929949,0.125415075257231,37.4332975681944,0.2394328363774944,False
11284772,4622.01,207.24833046324065,0.1227105537737647,12.427213498351708,0.9144562713006036,False
12116489,547.01,25.30291006611917,0.0899736368851724,119.40445268945818,0.0058630396496089,False
3962243,1203.01,31.883995087374487,0.1083364935105173,31.07328985428085,0.6835810034572485,False
9643874,1457.01,8.027681168681646,0.0579485355245224,494.19469133934257,4.411712345442354e-07,False
3832474,806.02,60.32512234013711,0.1223634708506195,321.0219072286214,0.0,True
12254792,1506.01,40.42856685160685,0.1318250190336563,37.695771054172575,0.8224845783987432,False
6191521,847.01,80.87233047250301,0.2157075547387123,114.3055958764676,0.9813094248117624,False
8242434,1726.01,44.96411710215669,0.1014182103698291,69.45416006398845,0.3034586437578962,False
8628758,1279.01,14.374588714872363,0.0979663197638541,56.91665371096936,0.4125946842278939,False
10843590,431.01,18.87022289226329,0.0638418632921208,67.62156489533626,0.100222228142681,False
4757437,497.01,13.193238171106747,0.1015266541543024,60.693878496524746,4.1244733901213415e-05,False
4742414,631.01,15.458057815601688,0.1729894324290286,808.5189768394702,0.0,False
7512982,1480.01,20.381747474525547,0.0762811540054179,47.236412183662566,0.0082095424088771,False
6125481,659.01,23.205663309903,0.0863992618891933,47.04995988104175,0.3770033875510143,False
10460984,474.01,10.94577093032844,0.0606502684610669,58.72839245841544,0.1456611479960791,False
9451706,271.02,29.39331921579218,0.1430833634181857,70.08724064671625,0.0,True
11297236,1857.01,88.64401332342021,0.1549691925995657,44.64364713772156,0.707679014605829,False
7303287,1353.03,330.07197980010267,0.087806296976826,9.057592620198264,0.228016745215151,False
10271806,733.01,5.924995351200571,0.0532748063408163,77.71337866259057,3.3410129107735997e-09,False
5791986,413.02,24.67456337357597,0.0634907552764865,31.82589106156756,0.2995482112272978,False
11018648,759.02,91.77321290296422,0.1250612156533168,20.565520439572417,0.9991077619983842,False
11298298,1802.01,5.24867079514557,0.0370470240276497,96.21557835522408,0.0,True
10925104,156.03,11.776130394505545,0.0584792422619507,146.24379356273994,0.0010179492435619,False
8644288,137.01,7.641563023099764,0.0683200629136202,345.8446600813777,5.440092820663267e-15,True
10360722,4051.01,163.69251186652963,0.1387247208416762,23.03439472272194,0.350276084296824,False
